abridor de latas,afiador de facas,agulha de crochê,aniversariante,
ar condicionado,arara-vermelha,árvore de natal,ave-do-paraíso,
barra de cereais,besouro-girafa,bicho de pelúcia,bicho-preguiça,
bola de boliche,bolinho de arroz,bolinho de chuva,bolo de maracujá,
cachorro quente,cadeira de praia,caixa de correio,caixa de papelão,
caldo de galinha,caminhão de lixo,cana-de-açúcar,canja de galinha,
carrinho de bebê,cavalo-marinho,cebola empanada,chefe de cozinha,
cílios postiços,claustrofóbico,código de barras,coelho da páscoa,
contorcionista,controle remoto,cortador de unha,creme de abóbora,
cristo redentor,dermatologista,esponja-do-mar,esquilo-voador,
estacionamento,estrela cadente,estrela-do-mar,extraterrestre,
feijão fradinho,feijão manteiga,fisiculturismo,fisioterapeuta,
frango empanado,fruta-do-conde,futebol de areia,futebol de botão,
garrafa térmica,grampo de cabelo,halterofilismo,instrumentista,
jogador de vôlei,lente de contato,liquidificador,lobo da tasmânia,
marcha atlética,massoterapeuta,meteorologista,molho de pimenta,
montanha-russa,mosquito-prego,muralha da china,nariz de palhaço,
navio cargueiro,neurocirurgião,oftalmologista,ônibus espacial,
palito de dente,panda-vermelho,pão australiano,papel higiênico,
papel laminado,peixe-lanterna,peixe-mandarim,peixe-trombeta,
pimenta do reino,porco-da-terra,porta giratória,rede de descanso,
relógio de pulso,rolo compressor,saco de plástico,salada de frutas,
suco de graviola,suco de maracujá,tigre de bengala,tinta de cabelo,
torta de pêssego,transatlântico,tubarão-baleia,tubarão-branco,
tubarão-duende
